rxn_smiles,reactant_0,reactant_1,product_0,product_1,reactants,products,r1_valid,r2_valid,p1_valid,p2_valid,reaction
CCN=O+[C]1=C[CH]CC=C1<=>CC=N[O]+[CH]1C=CC=CC1,CCN=O,[C]1=C[CH]CC=C1,CC=N[O],[CH]1C=CC=CC1,CCN=O+[C]1=C[CH]CC=C1,CC=N[O]+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_863
[CH2]CN=O+[CH]1C=CC=CC1<=>CCN=O+[C]1=C[CH]CC=C1,[CH2]CN=O,[CH]1C=CC=CC1,CCN=O,[C]1=C[CH]CC=C1,[CH2]CN=O+[CH]1C=CC=CC1,CCN=O+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_864
[O-][N+](=[N])C+[CH]1C=CC=CC1<=>[O-][N+](=N)C+[C]1=C[CH]CC=C1,[O-][N+](=[N])C,[CH]1C=CC=CC1,[O-][N+](=N)C,[C]1=C[CH]CC=C1,[O-][N+](=[N])C+[CH]1C=CC=CC1,[O-][N+](=N)C+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_865
[O-][N+](=N)[CH2]+[CH]1C=CC=CC1<=>[O-][N+](=N)C+[C]1=C[CH]CC=C1,[O-][N+](=N)[CH2],[CH]1C=CC=CC1,[O-][N+](=N)C,[C]1=C[CH]CC=C1,[O-][N+](=N)[CH2]+[CH]1C=CC=CC1,[O-][N+](=N)C+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_866
CC#N+[C]1=C[CH]CC=C1<=>C=C=[N]+[CH]1C=CC=CC1,CC#N,[C]1=C[CH]CC=C1,C=C=[N],[CH]1C=CC=CC1,CC#N+[C]1=C[CH]CC=C1,C=C=[N]+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_867
CC#CC+[C]1=C[CH]CC=C1<=>[CH2]C#CC+[CH]1C=CC=CC1,CC#CC,[C]1=C[CH]CC=C1,[CH2]C#CC,[CH]1C=CC=CC1,CC#CC+[C]1=C[CH]CC=C1,[CH2]C#CC+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_868
CC[NH]+[C]1=C[CH]CC=C1<=>CC[N]+[CH]1C=CC=CC1,CC[NH],[C]1=C[CH]CC=C1,CC[N],[CH]1C=CC=CC1,CC[NH]+[C]1=C[CH]CC=C1,CC[N]+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_869
[NH]N+[C]1=C[CH]CC=C1<=>[N]N+[CH]1C=CC=CC1,[NH]N,[C]1=C[CH]CC=C1,[N]N,[CH]1C=CC=CC1,[NH]N+[C]1=C[CH]CC=C1,[N]N+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_870
[CH]CC+[CH]1C=CC=CC1<=>[CH2]CC+[C]1=C[CH]CC=C1,[CH]CC,[CH]1C=CC=CC1,[CH2]CC,[C]1=C[CH]CC=C1,[CH]CC+[CH]1C=CC=CC1,[CH2]CC+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_871
CCS+[C]1=C[CH]CC=C1<=>CC[S]+[CH]1C=CC=CC1,CCS,[C]1=C[CH]CC=C1,CC[S],[CH]1C=CC=CC1,CCS+[C]1=C[CH]CC=C1,CC[S]+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_872
[O-][N+](=[N])C+[CH]1C=CC=CC1<=>[N-]=[N+](O)C+[C]1=C[CH]CC=C1,[O-][N+](=[N])C,[CH]1C=CC=CC1,[N-]=[N+](O)C,[C]1=C[CH]CC=C1,[O-][N+](=[N])C+[CH]1C=CC=CC1,[N-]=[N+](O)C+[C]1=C[CH]CC=C1,True,True,True,True,rmg_rxn_873
CC=NO+[C]1=C[CH]CC=C1<=>CC=N[O]+[CH]1C=CC=CC1,CC=NO,[C]1=C[CH]CC=C1,CC=N[O],[CH]1C=CC=CC1,CC=NO+[C]1=C[CH]CC=C1,CC=N[O]+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_874
