product_0,product_1,reactant_0,reactant_1,reaction
O=C(C#N)C=O,O=[C]C(Cl)(Cl)Cl,O=C(C#N)[C]=O,O=CC(Cl)(Cl)Cl,rxn_7150
O=C=C(C#N)O,O=[C]C(Cl)(Cl)Cl,O=C=C(C#N)[O],O=CC(Cl)(Cl)Cl,rxn_7151
O=C(C#N)C=O,O=[C]C(Br)(Br)Br,O=C(C#N)[C]=O,O=CC(Br)(Br)Br,rxn_7152
O=C=C(C#N)O,O=[C]C(Br)(Br)Br,O=C=C(C#N)[O],O=CC(Br)(Br)Br,rxn_7153
NCC#N,[CH3],N[CH]C#N,C,rxn_7154
NC=C=N,[CH3],NC=C=[N],C,rxn_7155
[N-]=CC=[NH2+],[CH3],[N-]=[C]C=[NH2+],C,rxn_7156
[N-]=C=C[NH3+],[CH3],[N-]=C=C[NH2+],C,rxn_7157
NCC#N,[NH2],N[CH]C#N,N,rxn_7158
NC=C=N,[NH2],NC=C=[N],N,rxn_7159
[N-]=CC=[NH2+],[NH2],[N-]=[C]C=[NH2+],N,rxn_7160
[N-]=C=C[NH3+],[NH2],[N-]=C=C[NH2+],N,rxn_7161
NCC#N,[OH],N[CH]C#N,O,rxn_7162
NC=C=N,[OH],NC=C=[N],O,rxn_7163
[N-]=CC=[NH2+],[OH],[N-]=[C]C=[NH2+],O,rxn_7164
[N-]=C=C[NH3+],[OH],[N-]=C=C[NH2+],O,rxn_7165
NCC#N,[C]#C,N[CH]C#N,C#C,rxn_7166
NC=C=N,[C]#C,NC=C=[N],C#C,rxn_7167
[N-]=CC=[NH2+],[C]#C,[N-]=[C]C=[NH2+],C#C,rxn_7168
[N-]=C=C[NH3+],[C]#C,[N-]=C=C[NH2+],C#C,rxn_7169
NCC#N,[C]#N,N[CH]C#N,C#N,rxn_7170
NC=C=N,[C]#N,NC=C=[N],C#N,rxn_7171
[N-]=CC=[NH2+],[C]#N,[N-]=[C]C=[NH2+],C#N,rxn_7172
[N-]=C=C[NH3+],[C]#N,[N-]=C=C[NH2+],C#N,rxn_7173
NCC#N,[CH]=O,N[CH]C#N,C=O,rxn_7174
NC=C=N,[CH]=O,NC=C=[N],C=O,rxn_7175
[N-]=CC=[NH2+],[CH]=O,[N-]=[C]C=[NH2+],C=O,rxn_7176
[N-]=C=C[NH3+],[CH]=O,[N-]=C=C[NH2+],C=O,rxn_7177
NCC#N,C[O],N[CH]C#N,CO,rxn_7178
NCC#N,[CH2]O,N[CH]C#N,CO,rxn_7179
NC=C=N,C[O],NC=C=[N],CO,rxn_7180
NC=C=N,[CH2]O,NC=C=[N],CO,rxn_7181
[N-]=CC=[NH2+],C[O],[N-]=[C]C=[NH2+],CO,rxn_7182
[N-]=CC=[NH2+],[CH2]O,[N-]=[C]C=[NH2+],CO,rxn_7183
[N-]=C=C[NH3+],C[O],[N-]=C=C[NH2+],CO,rxn_7184
[N-]=C=C[NH3+],[CH2]O,[N-]=C=C[NH2+],CO,rxn_7185
NCC#N,C#C[CH2],N[CH]C#N,C#CC,rxn_7186
NCC#N,[C]#CC,N[CH]C#N,C#CC,rxn_7187
NC=C=N,C#C[CH2],NC=C=[N],C#CC,rxn_7188
NC=C=N,[C]#CC,NC=C=[N],C#CC,rxn_7189
[N-]=CC=[NH2+],C#C[CH2],[N-]=[C]C=[NH2+],C#CC,rxn_7190
[N-]=CC=[NH2+],[C]#CC,[N-]=[C]C=[NH2+],C#CC,rxn_7191
[N-]=C=C[NH3+],C#C[CH2],[N-]=C=C[NH2+],C#CC,rxn_7192
[N-]=C=C[NH3+],[C]#CC,[N-]=C=C[NH2+],C#CC,rxn_7193
NCC#N,[CH2]C#N,N[CH]C#N,CC#N,rxn_7194
NC=C=N,[CH2]C#N,NC=C=[N],CC#N,rxn_7195
[N-]=CC=[NH2+],[CH2]C#N,[N-]=[C]C=[NH2+],CC#N,rxn_7196
[N-]=C=C[NH3+],[CH2]C#N,[N-]=C=C[NH2+],CC#N,rxn_7197
NCC#N,[CH2]C=O,N[CH]C#N,CC=O,rxn_7198
NCC#N,C[C]=O,N[CH]C#N,CC=O,rxn_7199
NC=C=N,[CH2]C=O,NC=C=[N],CC=O,rxn_7200
NC=C=N,C[C]=O,NC=C=[N],CC=O,rxn_7201
[N-]=CC=[NH2+],[CH2]C=O,[N-]=[C]C=[NH2+],CC=O,rxn_7202
[N-]=CC=[NH2+],C[C]=O,[N-]=[C]C=[NH2+],CC=O,rxn_7203
[N-]=C=C[NH3+],[CH2]C=O,[N-]=C=C[NH2+],CC=O,rxn_7204
[N-]=C=C[NH3+],C[C]=O,[N-]=C=C[NH2+],CC=O,rxn_7205
NCC#N,[NH]C=O,N[CH]C#N,NC=O,rxn_7206
