reaction,reactant_0,reactant_1,product_0,product_1
rxn_557,C[CH]C,C1CC2CCCC2C1,CCC,C1C[C]2CCCC2C1
rxn_559,[CH2]C=C,C1CC2CCCC2C1,C=CC,C1C[C]2CCCC2C1
rxn_560,C=C[CH]C,C1CC2CCCC2C1,C=CCC,C1C[C]2CCCC2C1
rxn_561,C=C[C](C)C,C1CC2CCCC2C1,C=CC(C)C,C1C[C]2CCCC2C1
rxn_562,C=C[CH]C=C,C1CC2CCCC2C1,C=CCC=C,C1C[C]2CCCC2C1
rxn_563,C=C[C](C)C=C,C1CC2CCCC2C1,C=CC(C)C=C,C1C[C]2CCCC2C1
rxn_565,C#C[CH]C,C1CC2CCCC2C1,C#CCC,C1C[C]2CCCC2C1
rxn_566,C#C[C](C)C,C1CC2CCCC2C1,C#CC(C)C,C1C[C]2CCCC2C1
rxn_567,C#C[CH]C#C,C1CC2CCCC2C1,C#CCC#C,C1C[C]2CCCC2C1
rxn_568,C#C[C](C)C#C,C1CC2CCCC2C1,C#CC(C)C#C,C1C[C]2CCCC2C1
rxn_569,[CH2]c1ccccc1,C1CC2CCCC2C1,Cc1ccccc1,C1C[C]2CCCC2C1
rxn_570,C[CH]c1ccccc1,C1CC2CCCC2C1,CCc1ccccc1,C1C[C]2CCCC2C1
rxn_571,C[C](C)c1ccccc1,C1CC2CCCC2C1,CC(C)c1ccccc1,C1C[C]2CCCC2C1
rxn_572,[CH]=C,C1CC2CCCC2C1,C=C,C1C[C]2CCCC2C1
rxn_573,C=[C]C,C1CC2CCCC2C1,C=CC,C1C[C]2CCCC2C1
rxn_574,C=[C]C=C,C1CC2CCCC2C1,C=CC=C,C1C[C]2CCCC2C1
rxn_575,[c]1ccccc1,C1CC2CCCC2C1,c1ccccc1,C1C[C]2CCCC2C1
rxn_576,C#C[C]=C,C1CC2CCCC2C1,C#CC=C,C1C[C]2CCCC2C1
rxn_577,[CH3],C1CCC2CCCC2C1,C,[CH]1CCC2CCCCC12
rxn_578,C[CH2],C1CCC2CCCC2C1,CC,[CH]1CCC2CCCCC12
rxn_581,[CH2]C=C,C1CCC2CCCC2C1,C=CC,[CH]1CCC2CCCCC12
rxn_582,C=C[CH]C,C1CCC2CCCC2C1,C=CCC,[CH]1CCC2CCCCC12
rxn_586,C#C[CH2],C1CCC2CCCC2C1,C#CC,[CH]1CCC2CCCCC12
rxn_590,C#C[C](C)C#C,C1CCC2CCCC2C1,C#CC(C)C#C,[CH]1CCC2CCCCC12
rxn_594,[CH]=C,C1CCC2CCCC2C1,C=C,[CH]1CCC2CCCCC12
rxn_595,C=[C]C,C1CCC2CCCC2C1,C=CC,[CH]1CCC2CCCCC12
rxn_596,C=[C]C=C,C1CCC2CCCC2C1,C=CC=C,[CH]1CCC2CCCCC12
rxn_599,[CH3],C1CCC2CCCC2C1,C,[CH]1CC2CCCCC2C1
rxn_600,C[CH2],C1CCC2CCCC2C1,CC,[CH]1CC2CCCCC2C1
rxn_601,C[CH]C,C1CCC2CCCC2C1,CCC,[CH]1CC2CCCCC2C1
rxn_602,C[C](C)C,C1CCC2CCCC2C1,CC(C)C,[CH]1CC2CCCCC2C1
rxn_604,C=C[CH]C,C1CCC2CCCC2C1,C=CCC,[CH]1CC2CCCCC2C1
rxn_605,C=C[C](C)C,C1CCC2CCCC2C1,C=CC(C)C,[CH]1CC2CCCCC2C1
rxn_606,C=C[CH]C=C,C1CCC2CCCC2C1,C=CCC=C,[CH]1CC2CCCCC2C1
rxn_607,C=C[C](C)C=C,C1CCC2CCCC2C1,C=CC(C)C=C,[CH]1CC2CCCCC2C1
rxn_610,C#C[C](C)C,C1CCC2CCCC2C1,C#CC(C)C,[CH]1CC2CCCCC2C1
rxn_611,C#C[CH]C#C,C1CCC2CCCC2C1,C#CCC#C,[CH]1CC2CCCCC2C1
rxn_612,C#C[C](C)C#C,C1CCC2CCCC2C1,C#CC(C)C#C,[CH]1CC2CCCCC2C1
rxn_613,[CH2]c1ccccc1,C1CCC2CCCC2C1,Cc1ccccc1,[CH]1CC2CCCCC2C1
rxn_614,C[CH]c1ccccc1,C1CCC2CCCC2C1,CCc1ccccc1,[CH]1CC2CCCCC2C1
rxn_615,C[C](C)c1ccccc1,C1CCC2CCCC2C1,CC(C)c1ccccc1,[CH]1CC2CCCCC2C1
rxn_616,[CH]=C,C1CCC2CCCC2C1,C=C,[CH]1CC2CCCCC2C1
rxn_617,C=[C]C,C1CCC2CCCC2C1,C=CC,[CH]1CC2CCCCC2C1
rxn_618,C=[C]C=C,C1CCC2CCCC2C1,C=CC=C,[CH]1CC2CCCCC2C1
rxn_619,[c]1ccccc1,C1CCC2CCCC2C1,c1ccccc1,[CH]1CC2CCCCC2C1
rxn_621,[H],N,[H][H],[NH2]
rxn_622,[OH],N,O,[NH2]
rxn_623,N,[O],[OH],[NH2]
rxn_624,[H],[NH2],[H][H],[NH]
rxn_625,[NH2],[O],[OH],[NH]
rxn_626,[OH],[NH2],O,[NH]
rxn_628,[NH2],[CH3],C,[NH]
rxn_629,[NH2],[CH3],N,[CH2]
rxn_631,[NH],[NH2],N,[N]
rxn_632,[OH],[NH],O,[N]
rxn_633,[H],[NH],[H][H],[N]
rxn_634,[NH],[O],[OH],[N]
rxn_635,[NH],[CH3],C,[N]
rxn_636,[H],N=N,[H][H],[N]=N
rxn_637,N=N,[O],[OH],[N]=N
rxn_638,[OH],N=N,O,[N]=N
rxn_639,[NH2],N=N,N,[N]=N
rxn_640,N=N,[CH3],C,[N]=N
rxn_641,[NH],N=N,[NH2],[N]=N
rxn_645,[H],NN,[H][H],[NH]N
rxn_646,NN,[O],[OH],[NH]N
rxn_647,[OH],NN,O,[NH]N
rxn_648,[CH3],NN,C,[NH]N
rxn_649,[NH2],NN,N,[NH]N
rxn_652,N=O,[O],[OH],[N]=O
rxn_654,N=O,[O][O],[O]O,[N]=O
rxn_656,[H],ON=C,[H][H],[O]N=C
rxn_657,ON=C,[O],[OH],[O]N=C
rxn_658,[OH],ON=C,O,[O]N=C
rxn_659,ON=C,[CH3],C,[O]N=C
rxn_660,[NH2],ON=C,N,[O]N=C
rxn_661,[OH],C#N,O,[C]#N
rxn_663,[H][H],[C]#N,C#N,[H]
rxn_664,O,[C]#N,C#N,[OH]
rxn_666,N,[C]#N,C#N,[NH2]
rxn_667,[H],C=N,[H][H],C=[N]
rxn_668,C=N,[O],[OH],C=[N]
rxn_669,[OH],C=N,O,C=[N]
rxn_670,C=N,[CH3],C,C=[N]
rxn_671,[NH2],C=N,N,C=[N]
rxn_672,[H],C=N,[H][H],[CH]=N
rxn_673,C=N,[O],[OH],[CH]=N
rxn_674,[OH],C=N,O,[CH]=N
rxn_675,C=N,[CH3],C,[CH]=N
rxn_676,[NH2],C=N,N,[CH]=N
rxn_677,[H],CN,[H][H],[CH2]N
rxn_679,[OH],CN,O,[CH2]N
rxn_680,[CH3],CN,C,[CH2]N
rxn_681,[NH2],CN,N,[CH2]N
rxn_682,[H],CN,[H][H],C[NH]
rxn_683,CN,[O],[OH],C[NH]
rxn_684,[OH],CN,O,C[NH]
rxn_685,[CH3],CN,C,C[NH]
rxn_686,[NH2],CN,N,C[NH]
rxn_687,[H][H],[N]=C=O,N=C=O,[H]
rxn_688,C,[N]=C=O,N=C=O,[CH3]
rxn_689,N,[N]=C=O,N=C=O,[NH2]
rxn_690,[H],C=CO,[H][H],C=C[O]
rxn_691,C=CO,[O],[OH],C=C[O]
rxn_692,[OH],C=CO,O,C=C[O]
rxn_693,C=CO,[CH3],C,C=C[O]
rxn_694,[NH2],C=CO,N,C=C[O]
rxn_695,[OH],N=C=O,O,[N]=C=O
rxn_696,[H],N=C=O,[H][H],[N]=C=O
rxn_697,N=C=O,[O],[OH],[N]=C=O
rxn_698,N=C=O,[CH3],C,[N]=C=O
rxn_699,[NH2],N=C=O,N,[N]=C=O
rxn_701,[H],CN=C,[H][H],[CH2]N=C
rxn_702,CN=C,[O],[OH],[CH2]N=C
